trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-159.947600155681,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,4,-54.435418597729196,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-112.57828514099377,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-95.24207120373578,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-128.863420179204,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-54.58313075326324,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-41.635078053651085,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,13,-45.56358545100677,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,7,-134.22434838291767,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-106.48048250410622,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-15.96571077472504,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-46.304209306403216,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,5,-187.43287979668082,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,11,-53.96474600246282,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,4.657397671492562,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,18,-82.1538305834361,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,11,31.940261322369896,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,11,3.626197719924345,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,2,1.4092035509715901,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,13.681029923746676,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': -0.05}",20,15,10.402686915853327,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': -0.05}",20,0,-60.287927219970896,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': -0.05}",20,8,19.844117313139535,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': -0.05}",25,17,-15.097147883105812,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': -0.05}",20,6,-18.152346572947824,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': -0.05}",20,0,13.588238164528626,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': -0.05}",25,13,-23.272332187452662,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': -0.05}",25,12,18.855157641123352,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': -0.05}",20,0,7.168372003792237,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': -0.05}",25,19,-12.298382827609991,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
