trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.99}",30,0,-193.36232971607217,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.8, 'e': 0.9801}",20,0,-85.93846319994353,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.970299}",25,0,-49.3481136203174,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.9605960100000001}",20,0,-71.42718930715955,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9509900499}",20,0,-121.88286833665455,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.941480149401}",25,0,-127.36279397536315,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.93206534790699}",25,0,-103.68831530499642,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.9227446944279202}",25,5,-109.21684133267863,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",1
9,False,"{'a': 0.8, 'e': 0.9135172474836409}",25,0,-104.20636243597441,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.9043820750088045}",30,0,-86.20182707116338,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.8953382542587165}",20,0,-178.2337102183771,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.8, 'e': 0.8863848717161293}",20,0,-128.82339750284515,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.8775210229989681}",20,0,-111.32743830903746,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.8687458127689783}",20,13,-17.44219224702136,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.8600583546412885}",20,12,-3.9012239250672787,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.8514577710948756}",20,0,-232.95078215859436,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 4}",0
17,False,"{'a': 0.8, 'e': 0.8429431933839269}",20,0,-54.250454095980814,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.8345137614500876}",25,0,-17.914138376107463,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.8261686238355868}",25,0,-112.5312225355522,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",1
20,False,"{'a': 0.8, 'e': 0.8179069375972309}",20,2,-69.80326241582057,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
21,False,"{'a': 0.8, 'e': 0.8097278682212585}",20,8,-75.42389622931405,"{0: 5, 1: 3, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.8, 'e': 0.801630589539046}",20,0,-58.87083628815724,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.8, 'e': 0.7936142836436555}",30,0,-101.83293329682753,"{0: 18, 1: 1, 2: 10, 3: 1, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.785678140807219}",20,11,-81.04363322740187,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
25,False,"{'a': 0.8, 'e': 0.7778213593991468}",25,0,-70.72565115853108,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.7700431458051553}",25,0,-47.10049693702349,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.7623427143471038}",25,13,-21.728045053932767,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.8, 'e': 0.7547192872036327}",20,0,-37.41383674375436,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.8, 'e': 0.7471720943315964}",25,0,-119.9915204471992,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.8, 'e': 0.7397003733882804}",20,6,-42.25023392781046,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.8, 'e': 0.7323033696543976}",25,0,-157.77727158042873,"{0: 15, 1: 1, 2: 3, 3: 5, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.7249803359578536}",25,0,-94.81650192222459,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",1
33,False,"{'a': 0.8, 'e': 0.717730532598275}",20,1,-86.74076477202969,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 1}",1
34,False,"{'a': 0.8, 'e': 0.7105532272722923}",25,0,-96.47994369045091,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.8, 'e': 0.7034476949995694}",20,2,-81.49022903078836,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
36,False,"{'a': 0.8, 'e': 0.6964132180495737}",20,0,-154.34078114368276,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.8, 'e': 0.6894490858690779}",20,0,-56.22289149280317,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.8, 'e': 0.6825545950103872}",30,0,-65.65730404458495,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.8, 'e': 0.6757290490602833}",25,0,-37.49894666951042,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.8, 'e': 0.6689717585696805}",20,12,2.214485157832997,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
