trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-210.3065442287931,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-222.2292198381325,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,10,-127.20020904250674,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.9605960100000001}",25,0,-96.93933414495616,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900499}",20,0,-141.26231735772637,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-48.74333053782456,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.93206534790699}",25,0,-160.08030076502388,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279202}",30,0,-293.42916159702185,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836409}",20,0,-105.82882198910687,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088045}",20,0,-118.77968506997085,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587165}",25,15,-19.52356911089042,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161293}",20,0,-114.86116422146436,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989681}",20,8,-54.28899296667925,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689783}",20,0,-52.201148625777684,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412885}",20,0,-113.49133332670488,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948756}",20,0,-76.9345816027751,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839269}",25,0,-93.07990780225671,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500876}",25,0,-181.92216672047275,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355868}",25,0,-75.51558492847741,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972309}",20,0,-120.51049465062526,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-76.02040631280074,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-127.79288586656651,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-113.77181759990614,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-118.57122127794695,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-74.84210616439049,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-148.0676330769176,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",35,7,-59.93975626241216,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-102.53289093464824,"{0: 7, 1: 6, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,16,-41.71325751928029,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,0,-113.87563426284578,"{0: 14, 1: 7, 2: 8, 3: 1, 4: 0}",0
